id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3316,VE62,small_airport,Cuttack Airport,20.5496006011963,85.8862991333008,115,AS,IN,IN-OR,,0,VE62,,VE62,,,,50,2008-06-13T14:30:04+00:00
26505,VEJH,small_airport,Jharsuguda Airport,21.9134998321533,84.0503997802734,751,AS,IN,IN-OR,,0,VEJH,,,,,,50,2008-06-13T14:30:04+00:00
26522,VEUK,small_airport,Utkela Airport,20.0974006652832,83.1837997436523,680,AS,IN,IN-OR,,0,VEUK,,,,,,50,2008-06-13T14:30:04+00:00
3336,VI88,small_airport,Jallowal Airport,31.5599994659424,75.3413009643555,741,AS,IN,IN-PB,,0,VI88,,VI88,,,,50,2008-06-13T14:30:04+00:00
26560,VIHX,small_airport,Halwara Air Force Station,30.7485008239746,75.6297988891602,790,AS,IN,IN-PB,,0,VIHX,,,,http://en.wikipedia.org/wiki/Halwara_Air_Force_Base,,50,2008-06-13T14:30:04+00:00
3289,VA1H,small_airport,Ondwa Airport,25.1415004730225,74.6115036010742,1450,AS,IN,IN-RJ,,0,VA1H,,VA1H,,,,50,2008-06-13T14:30:04+00:00
3297,VA2A,small_airport,Phalodi Airport,27.1128997802734,72.3889999389648,781,AS,IN,IN-RJ,,0,VA2A,,VA2A,,,,50,2008-06-13T14:30:04+00:00
3302,IN-VA38,small_airport,Sirohi Airport,24.8950996398926,72.8459014892578,1000,AS,IN,IN-RJ,,0,VA38,,VA38,,,,50,2008-06-13T14:30:04+00:00
3304,IN-VA51,small_airport,Banswara Airport,23.5897006988525,74.3126983642578,700,AS,IN,IN-RJ,,0,VA51,,VA51,,,,50,2008-06-13T14:30:04+00:00
3306,IN-VA74,small_airport,Abu Road Airport,24.4941997528076,72.7815017700195,875,AS,IN,IN-RJ,,0,VA74,,VA74,,,,50,2008-06-13T14:30:04+00:00
3324,VI43,small_airport,Suratgarh New Airport,29.3878002166748,73.9039001464844,554,AS,IN,IN-RJ,,0,VI43,,VI43,,,Phalodi Air Force Station,50,2008-06-13T14:30:04+00:00
3329,VI69,small_airport,Jhunjhunu Airport,28.1067008972168,75.375602722168,1110,AS,IN,IN-RJ,,0,VI69,,VI69,,,,50,2008-06-13T14:30:04+00:00
3330,VI70,small_airport,Pilani New Airport,28.3488006591797,75.5936965942383,1100,AS,IN,IN-RJ,,0,VI70,,VI70,,,,50,2008-06-13T14:30:04+00:00
3332,VI73,small_airport,Nagaur Airport,27.2082996368408,73.7114028930664,950,AS,IN,IN-RJ,,0,VI73,,VI73,,,,50,2008-06-13T14:30:04+00:00
3338,VO26,small_airport,Kovilpatti Airport,9.15388965606689,77.8211975097656,325,AS,IN,IN-TN,,0,VO26,,VO26,,,,50,2008-06-13T14:30:04+00:00
3344,VO95,small_airport,Hosur Airport,12.6612997055054,77.7671966552734,3116,AS,IN,IN-TN,,0,VO95,,VO95,,,,50,2008-06-13T14:30:04+00:00
26601,VOAR,small_airport,Arkonam Airport,13.0712003708,79.6912002563,265,AS,IN,IN-TN,,0,VOAR,,,,http://en.wikipedia.org/wiki/Arakkonam_Naval_Air_Station,Arakkonam Naval Air Base,50,2010-04-25T19:11:47+00:00
30005,VEKM,small_airport,Kamalpur Airport,24.1317005157471,91.8142013549805,131,AS,IN,IN-TR,,0,VEKM,IXQ,,,,,50,2008-06-13T14:30:04+00:00
3285,VA1D,small_airport,Muirpur Airport,24.1252002716064,83.0406036376953,1122,AS,IN,IN-UP,,0,VA1D,,VA1D,,,,50,2008-06-13T14:30:04+00:00
3298,VA2B,small_airport,Meerut Sw Airport,28.904899597168,77.6772994995117,732,AS,IN,IN-UP,,0,VA2B,,VA2B,,,,50,2008-06-13T14:30:04+00:00
3335,VI82,small_airport,Bharkot Airport,30.5828990936279,78.3234024047852,2983,AS,IN,IN-UP,,0,VI82,,VI82,,,,50,2008-06-13T14:30:04+00:00
3337,VI90,small_airport,Akbarpur Airport,26.4475994110107,82.5681991577148,288,AS,IN,IN-UP,,0,VI90,,VI90,,,,50,2008-06-13T14:30:04+00:00
26553,VIDF,small_airport,Pithorgarh Airport,29.593599319458,80.2391967773437,4910,AS,IN,IN-UP,,0,VIDF,,,,,,50,2008-06-13T14:30:04+00:00
26556,VIDX,small_airport,Hindon Air Force Station,28.7077007293701,77.3589019775391,700,AS,IN,IN-UP,,0,VIDX,,,,,,50,2008-06-13T14:30:04+00:00
26561,VIJN,small_airport,Jhansi Airport,25.4911994934082,78.5584030151367,801,AS,IN,IN-UP,,0,VIJN,,,,,,50,2008-06-13T14:30:04+00:00
26577,VISP,small_airport,Sarsawa Air Force Station,29.9939002990723,77.4253005981445,891,AS,IN,IN-UP,,0,VISP,,,,,Sarsawan,50,2008-06-13T14:30:04+00:00
3307,VE23,small_airport,Burnpur Airport,23.6315002441406,86.9755020141602,310,AS,IN,IN-WB,,0,VE23,,VE23,,,,50,2008-06-13T14:30:04+00:00
26542,VIAX,small_airport,Adampur Airport,31.4338,75.758797,775,AS,IN,IN-PB,Adampur,1,VIAX,AIP,,,https://en.wikipedia.org/wiki/Adampur_Air_Force_Base,Adampur Air Force Station,50,2018-05-19T18:45:26+00:00
26510,VELP,medium_airport,Lengpui Airport,23.8405990601,92.6196975708,1398,AS,IN,IN-MZ,Aizawl,1,VELP,AJL,,http://www.aai.aero/allAirports/lengpui.jsp,http://en.wikipedia.org/wiki/Lengpui_Airport,,50,2012-08-18T16:41:43+00:00
32206,VEBG,small_airport,Balurghat Airport,25.2616996765137,88.7956008911133,78,AS,IN,IN-WB,Balurghat,0,VEBG,RGH,,,,,50,2008-06-13T14:30:04+00:00
3309,VEPI,small_airport,Barrackpore Air Force Station,22.7810001373,88.3591995239,18,AS,IN,IN-WB,Barrackpore,0,VEPI,,VE31,,,,50,2010-12-28T13:59:33+00:00
29689,VEBA,small_airport,Behala Airport,22.5042304992676,88.2934265136719,10,AS,IN,IN-WB,Behala,0,VEBA,,,,,Parnasree,50,2009-04-19T09:31:13+00:00
26630,VOTX,small_airport,Tambaram Air Force Station,12.9071998596191,80.1219024658203,90,AS,IN,IN-TN,Chennai,0,VOTX,,,,,,50,2008-06-13T14:30:04+00:00
